run_id,planner,objective,initial_cost,cost,time,path,validity_time,setup_time,solve_time
0,rrtstar,PathLength,4.335866279993083,4.335866279993083,17.52234387397766,"[[0.6291796587663371, -0.019316974226201426, 0.034181329349959697, -1.9436012222141201, 0.43125168091770977, 1.938873926282423, -1.4136313279050623], [0.6172243787009052, 0.015366737487957804, 0.16298267653905374, -1.8909696589990317, 0.41542508903520803, 1.9889098964816692, -1.2616313857988302], [0.6052690986354732, 0.050050449202117035, 0.2917840237281478, -1.8383380957839435, 0.3995984971527063, 2.038945866680915, -1.1096314436925978], [0.5933138185700413, 0.08473416091627628, 0.4205853709172419, -1.785706532568855, 0.38377190527020455, 2.088981836880161, -0.9576315015863656], [0.5813585385046093, 0.11941787263043549, 0.5493867181063359, -1.7330749693537668, 0.3679453133877028, 2.1390178070794073, -0.8056315594801333], [0.5694032584391774, 0.15410158434459473, 0.67818806529543, -1.6804434061386784, 0.35211872150520107, 2.1890537772786534, -0.6536316173739011], [0.5574479783737454, 0.18878529605875397, 0.806989412484524, -1.62781184292359, 0.33629212962269933, 2.2390897474778995, -0.5016316752676688], [0.5454926983083135, 0.2234690077729132, 0.9357907596736181, -1.5751802797085017, 0.3204655377401976, 2.2891257176771456, -0.3496317331614365], [0.5335374182428816, 0.2581527194870724, 1.0645921068627122, -1.5225487164934135, 0.30463894585769585, 2.3391616878763912, -0.19763179105520434], [0.5215821381774496, 0.29283643120123165, 1.1933934540518063, -1.469917153278325, 0.2888123539751941, 2.3891976580756373, -0.04563184894897221], [0.5096268581120177, 0.3275201429153909, 1.3221948012409004, -1.4172855900632366, 0.2729857620926923, 2.4392336282748834, 0.10636809315726015], [0.49767157804658574, 0.3622038546295501, 1.4509961484299945, -1.3646540268481484, 0.25715917021019064, 2.4892695984741295, 0.2583680352634923], [0.4857162979811538, 0.39688756634370936, 1.5797974956190886, -1.31202246363306, 0.24133257832768887, 2.5393055686733756, 0.41036797736972463], [0.5164455848666895, 0.39923733977262105, 1.4703889098300207, -1.4629751869118217, 0.12344747349051649, 2.5455932213693995, 0.5226262547379857], [0.5471748717522252, 0.4015871132015327, 1.3609803240409528, -1.6139279101905832, 0.005562368653344113, 2.5518808740654233, 0.6348845321062468], [0.5779041586377609, 0.40393688663044436, 1.251571738251885, -1.764880633469345, -0.11232273618382829, 2.558168526761447, 0.7471428094745078], [0.6086334455232966, 0.40628666005935604, 1.142163152462817, -1.9158333567481067, -0.23020784102100064, 2.5644561794574705, 0.859401086842769], [0.6393627324088322, 0.4086364334882677, 1.0327545666737494, -2.0667860800268683, -0.3480929458581731, 2.5707438321534943, 0.97165936421103], [0.670092019294368, 0.41098620691717935, 0.9233459808846814, -2.21773880330563, -0.4659780506953455, 2.577031484849518, 1.083917641579291], [0.7008213061799037, 0.41333598034609104, 0.8139373950956136, -2.3686915265843917, -0.5838631555325179, 2.583319137545542, 1.1961759189475523]]",298.6358914375305,4.860238552093506,96.48074388504028
1,rrtstar,PathLength,4.693511883485187,4.693511883485187,190.38894867897034,"[[0.6291796587663371, -0.019316974226201426, 0.034181329349959697, -1.9436012222141201, 0.43125168091770977, 1.938873926282423, -1.4136313279050623], [0.6965686030738603, -0.07136964880484656, 0.15309685635206977, -1.8993078202250993, 0.42091308022111196, 1.9256878402508277, -1.2353605386234288], [0.7639575473813834, -0.12342232338349168, 0.2720123833541798, -1.8550144182360786, 0.41057447952451415, 1.9125017542192324, -1.0570897493417952], [0.8313464916889066, -0.17547499796213678, 0.3909279103562899, -1.8107210162470577, 0.40023587882791634, 1.899315668187637, -0.8788189600601619], [0.8987354359964298, -0.22752767254078193, 0.5098434373583999, -1.7664276142580368, 0.38989727813131847, 1.8861295821560418, -0.7005481707785284], [0.966124380303953, -0.27958034711942703, 0.6287589643605099, -1.7221342122690162, 0.37955867743472066, 1.8729434961244464, -0.522277381496895], [1.033513324611476, -0.33163302169807213, 0.74767449136262, -1.6778408102799953, 0.36922007673812285, 1.8597574100928511, -0.34400659221526153], [1.1009022689189993, -0.3836856962767173, 0.86659001836473, -1.6335474082909744, 0.35888147604152504, 1.8465713240612558, -0.165735802933628], [1.1682912132265226, -0.43573837085536243, 0.9855055453668401, -1.5892540063019538, 0.3485428753449272, 1.8333852380296605, 0.012534986348005539], [1.2356801575340457, -0.4877910454340076, 1.1044210723689503, -1.544960604312933, 0.33820427464832936, 1.8201991519980651, 0.19080577562963907], [1.3030691018415688, -0.5398437200126526, 1.2233365993710603, -1.5006672023239123, 0.32786567395173155, 1.8070130659664698, 0.3690765649112724], [1.370458046149092, -0.5918963945912977, 1.3422521263731704, -1.4563738003348914, 0.31752707325513374, 1.7938269799348745, 0.5473473541929059], [1.2867534536529435, -0.4662423477241241, 1.2762127849634757, -1.570413516116079, 0.2048532946566773, 1.8925134996362079, 0.6284509247872367], [1.2030488611567949, -0.3405883008569505, 1.2101734435537812, -1.6844532318972665, 0.09217951605822083, 1.9912000193375414, 0.7095544953815676], [1.1193442686606465, -0.21493425398977695, 1.1441341021440865, -1.798492947678454, -0.02049426254023562, 2.089886539038875, 0.7906580659758983], [1.035639676164498, -0.08928020712260332, 1.078094760734392, -1.9125326634596416, -0.13316804113869207, 2.188573058740208, 0.8717616365702291], [0.9519350836683493, 0.03637383974457031, 1.0120554193246973, -2.0265723792408292, -0.24584181973714847, 2.2872595784415415, 0.9528652071645599], [0.8682304911722007, 0.16202788661174383, 0.9460160779150028, -2.140612095022017, -0.358515598335605, 2.385946098142875, 1.0339687777588906], [0.7845258986760523, 0.28768193347891746, 0.8799767365053082, -2.254651810803204, -0.4711893769340615, 2.4846326178442086, 1.1150723483532214], [0.7008213061799037, 0.41333598034609104, 0.8139373950956136, -2.3686915265843917, -0.5838631555325179, 2.583319137545542, 1.1961759189475523]]",491.7063002586365,5.282904863357544,98.86972904205322
2,rrtstar,PathLength,,,,,700.407722234726,5.69845986366272,102.88264966011047
3,rrtstar,PathLength,5.319340933815012,5.319340933815012,98.67848420143127,"[[0.6291796587663371, -0.019316974226201426, 0.034181329349959697, -1.9436012222141201, 0.43125168091770977, 1.938873926282423, -1.4136313279050623], [0.781157699799572, -0.09913648183728258, 0.18142317254424678, -1.9438100619299017, 0.4289901486889357, 1.9947693630370409, -1.3006100824477838], [0.9331357408328069, -0.17895598944836372, 0.3286650157385339, -1.9440189016456833, 0.4267286164601617, 2.0506647997916585, -1.1875888369905052], [1.0851137818660417, -0.2587754970594448, 0.4759068589328209, -1.9442277413614648, 0.4244670842313876, 2.1065602365462763, -1.0745675915332267], [1.2370918228992767, -0.338595004670526, 0.623148702127108, -1.9444365810772464, 0.4222055520026136, 2.162455673300894, -0.961546346075948], [1.3890698639325114, -0.4184145122816071, 0.7703905453213951, -1.944645420793028, 0.41994401977383955, 2.218351110055512, -0.8485251006186695], [1.5410479049657464, -0.4982340198926882, 0.9176323885156821, -1.9448542605088093, 0.4176824875450655, 2.27424654681013, -0.7355038551613909], [1.6930259459989814, -0.5780535275037693, 1.0648742317099693, -1.9450631002245908, 0.4154209553162915, 2.330141983564747, -0.6224826097041124], [1.8450039870322161, -0.6578730351148505, 1.2121160749042565, -1.9452719399403724, 0.4131594230875174, 2.386037420319365, -0.5094613642468337], [1.9969820280654513, -0.7376925427259315, 1.3593579180985436, -1.945480779656154, 0.4108978908587434, 2.441932857073983, -0.3964401187895552], [2.148960069098686, -0.8175120503370127, 1.5065997612928306, -1.9456896193719355, 0.40863635862996933, 2.4978282938286007, -0.28341887333227667], [1.977256805219999, -0.6715725660703408, 1.4244720038655772, -1.9958442108759278, 0.29095743838876875, 2.5079647926737496, -0.10798592342607835], [1.8055535413413117, -0.5256330818036689, 1.3423442464383237, -2.0459988023799203, 0.17327851814756812, 2.5181012915188985, 0.06744702648011996], [1.6338502774626247, -0.37969359753699694, 1.2602164890110703, -2.0961533938839123, 0.05559959790636754, 2.5282377903640474, 0.2428799763863183], [1.4621470135839374, -0.23375411327032503, 1.1780887315838169, -2.146307985387905, -0.0620793223348331, 2.5383742892091963, 0.4183129262925166], [1.2904437497052503, -0.08781462900365311, 1.0959609741565637, -2.196462576891897, -0.17975824257603373, 2.548510788054345, 0.5937458761987149], [1.1187404858265633, 0.058124855263018804, 1.0138332167293103, -2.2466171683958893, -0.29743716281723426, 2.558647286899494, 0.7691788261049133], [0.947037221947876, 0.20406433952969072, 0.9317054593020568, -2.2967717598998814, -0.4151160830584349, 2.568783785744643, 0.9446117760111115], [0.7753339580691889, 0.35000382379636263, 0.8495777018748034, -2.346926351403874, -0.5327950032996356, 2.578920284589792, 1.1200447259173099], [0.7008213061799037, 0.41333598034609104, 0.8139373950956136, -2.3686915265843917, -0.5838631555325179, 2.583319137545542, 1.1961759189475523]]",803.2036349773407,6.0988609790802,106.68170094490051
4,rrtstar,PathLength,17.652065523324087,17.652065523324087,61.41925573348999,"[[0.6291796587663371, -0.019316974226201426, 0.034181329349959697, -1.9436012222141201, 0.43125168091770977, 1.938873926282423, -1.4136313279050623], [0.23031159515284538, 0.007844334949770462, -0.10109771079109776, -1.8987005217259372, -0.08320418790862455, 1.6915142334923183, -0.9247351410333273], [-0.1685564684606463, 0.03500564412574235, -0.2363767509321552, -1.8537998212377542, -0.5976600567349588, 1.4441545407022138, -0.43583895416159235], [-0.5674245320741381, 0.06216695330171424, -0.3716557910732127, -1.8088991207495713, -1.1121159255612934, 1.196794847912109, 0.05305723271014262], [-0.7687625572540989, -0.07853942714757836, -0.39937749562545577, -1.3259604256705566, -0.6155733064112251, 1.2238017307556204, -0.07050787087112005], [-0.9701005824340598, -0.21924580759687096, -0.4270992001776988, -0.8430217305915418, -0.11903068726115684, 1.2508086135991314, -0.19407297445238272], [-1.1714386076140206, -0.3599521880461636, -0.45482090472994186, -0.36008303551252707, 0.3775119318889115, 1.2778154964426427, -0.3176380780336454], [-1.3673502435628175, -0.07366557397618767, 0.11085541524414655, -0.3710868690318394, 0.4942848350541399, 1.4013174139803641, 0.20741457479374192], [-1.5632618795116142, 0.21262104009378824, 0.676531735218235, -0.38209070255115174, 0.6110577382193683, 1.5248193315180856, 0.7324672276211293], [-1.7591735154604111, 0.49890765416376415, 1.2422080551923236, -0.3930945360704641, 0.7278306413845967, 1.648321249055807, 1.2575198804485168], [-1.033548071890748, 0.3188665661513697, 1.4951672919320165, -0.3273827245247922, 0.39751073673949183, 1.7165327870680493, 1.320793507955517], [-0.30792262832108475, 0.13882547813897528, 1.7481265286717096, -0.26167091297912043, 0.06719083209438692, 1.7847443250802915, 1.3840671354625171], [0.41770281524857844, -0.04121560987341921, 2.0010857654114025, -0.1959591014334486, -0.26312907255071805, 1.8529558630925338, 1.4473407629695174], [1.0106370080541551, -0.4503222019692949, 1.8977093899927995, -0.5608598328072805, -0.38491022971214184, 1.727130984916138, 1.2202280795638725], [1.6035712008597318, -0.8594287940651706, 1.7943330145741963, -0.9257605641811123, -0.5066913868735656, 1.601306106739742, 0.9931153961582273], [2.1965053936653085, -1.2685353861610462, 1.6909566391555932, -1.2906612955549441, -0.6284725440349894, 1.4754812285633463, 0.7660027127525822], [2.1520386902096966, -0.7294104741429323, 1.325625848622201, -1.2406697713907315, -1.0850755392832219, 1.7809615603261428, 0.6450983092793757], [2.1075719867540843, -0.19028556212481829, 0.9602950580888087, -1.1906782472265192, -1.5416785345314543, 2.0864418920889394, 0.5241939058061691], [2.0631052832984724, 0.3488393498932958, 0.5949642675554163, -1.1406867230623066, -1.998281529779687, 2.3919222238517364, 0.40328950233296257], [0.7008213061799037, 0.41333598034609104, 0.8139373950956136, -2.3686915265843917, -0.5838631555325179, 2.583319137545542, 1.1961759189475523]]",868.9064204692841,6.493806600570679,110.63297915458679
5,rrtstar,PathLength,4.686651863505664,4.686651863505664,28.270994663238525,"[[0.6291796587663371, -0.019316974226201426, 0.034181329349959697, -1.9436012222141201, 0.43125168091770977, 1.938873926282423, -1.4136313279050623], [0.5909043126816516, -0.05387750032825782, 0.1364664664852494, -1.9540738760672394, 0.35858049755364513, 1.82420918816964, -1.2559355211685341], [0.5526289665969661, -0.0884380264303142, 0.2387516036205391, -1.9645465299203586, 0.28590931418958054, 1.709544450056857, -1.0982397144320062], [0.5143536205122806, -0.1229985525323706, 0.34103674075582874, -1.9750191837734778, 0.21323813082551593, 1.594879711944074, -0.9405439076954782], [0.4760782744275951, -0.157559078634427, 0.4433218778911185, -1.985491837626597, 0.14056694746145126, 1.480214973831291, -0.7828481009589501], [0.4378029283429096, -0.1921196047364834, 0.5456070150264081, -1.9959644914797163, 0.06789576409738668, 1.365550235718508, -0.6251522942224221], [0.39952758225822416, -0.2266801308385398, 0.6478921521616977, -2.0064371453328356, -0.004775419266677905, 1.250885497605725, -0.4674564874858942], [0.3612522361735387, -0.26124065694059617, 0.7501772892969873, -2.016909799185955, -0.07744660263074249, 1.136220759492942, -0.30976068074936625], [0.3229768900888531, -0.29580118304265257, 0.8524624264322772, -2.027382453039074, -0.15011778599480724, 1.021556021380159, -0.15206487401283786], [0.28470154400416764, -0.33036170914470897, 0.9547475635675668, -2.0378551068921933, -0.22278896935887177, 0.9068912832673761, 0.005630932723690085], [0.24642619791948217, -0.36492223524676537, 1.0570327007028566, -2.0483277607453125, -0.29546015272293635, 0.7922265451545931, 0.16332673946021803], [0.2969145432817512, -0.2784491001808924, 1.0300221111909407, -2.0839237347274326, -0.32750493081288984, 0.9912368331980319, 0.27808775940325514], [0.34740288864402025, -0.19197596511501952, 1.0030115216790247, -2.1195197087095523, -0.3595497089028433, 1.1902471212414707, 0.39284877934629225], [0.39789123400628934, -0.10550283004914662, 0.9760009321671089, -2.1551156826916724, -0.39159448699279686, 1.3892574092849093, 0.5076097992893294], [0.4483795793685584, -0.01902969498327367, 0.948990342655193, -2.190711656673792, -0.42363926508275035, 1.588267697328348, 0.6223708192323665], [0.49886792473082747, 0.06744344008259928, 0.9219797531432772, -2.226307630655912, -0.4556840431727039, 1.7872779853717868, 0.7371318391754037], [0.5493562700930965, 0.15391657514847212, 0.8949691636313613, -2.261903604638032, -0.4877288212626574, 1.9862882734152256, 0.8518928591184408], [0.5998446154553656, 0.2403897102143452, 0.8679585741194453, -2.297499578620152, -0.5197735993526109, 2.1852985614586644, 0.966653879061478], [0.6503329608176346, 0.32686284528021803, 0.8409479846075295, -2.3330955526022716, -0.5518183774425643, 2.384308849502103, 1.081414899004515], [0.7008213061799037, 0.41333598034609104, 0.8139373950956136, -2.3686915265843917, -0.5838631555325179, 2.583319137545542, 1.1961759189475523]]",900.8510653972626,6.918840408325195,113.93618750572205
6,rrtstar,PathLength,6.884064811652883,6.884064811652883,53.81652045249939,"[[0.6291796587663371, -0.019316974226201426, 0.034181329349959697, -1.9436012222141201, 0.43125168091770977, 1.938873926282423, -1.4136313279050623], [0.44946242918665363, -0.019657859355673046, 0.0822411346140414, -1.8593140152201817, 0.4712707808562115, 2.0039493426182804, -1.1744247704116693], [0.2697451996069702, -0.01999874448514467, 0.13030093987812308, -1.7750268082262433, 0.5112898807947132, 2.069024758954138, -0.935218212918276], [0.09002797002728669, -0.02033962961461629, 0.1783607451422048, -1.6907396012323048, 0.5513089807332149, 2.1341001752899955, -0.6960116554248829], [-0.0896892595523967, -0.020680514744087913, 0.22642055040628645, -1.6064523942383664, 0.5913280806717166, 2.199175591625853, -0.4568050979314897], [-0.2694064891320801, -0.021021399873559533, 0.27448035567036816, -1.522165187244428, 0.6313471806102182, 2.2642510079617106, -0.21759854043809668], [-0.4491237187117637, -0.021362285003031153, 0.32254016093444987, -1.4378779802504895, 0.6713662805487199, 2.329326424297568, 0.02160801705529658], [-0.6288409482914471, -0.021703170132502777, 0.3705999661985315, -1.353590773256551, 0.7113853804872217, 2.3944018406334258, 0.26081457454868984], [-0.8085581778711305, -0.022044055261974397, 0.41865977146261324, -1.2693035662626126, 0.7514044804257234, 2.4594772569692833, 0.5000211320420829], [-0.5614110135254667, 0.027796707515567894, 0.47956522563508763, -1.3444496703252007, 0.6523857279776875, 2.273680072921957, 0.6399963784220607], [-0.31426384917980293, 0.07763747029311019, 0.540470679807562, -1.419595774387789, 0.5533669755296516, 2.087882888874631, 0.7799716248020385], [-0.06711668483413924, 0.12747823307065248, 0.6013761339800365, -1.494741878450377, 0.45434822308161577, 1.9020857048273045, 0.9199468711820165], [0.18003047951152462, 0.17731899584819477, 0.6622815881525109, -1.5698879825129652, 0.3553294706335799, 1.7162885207799783, 1.0599221175619942], [0.4271776438571885, 0.22715975862573706, 0.7231870423249853, -1.6450340865755533, 0.25631071818554396, 1.530491336732652, 1.199897363941972], [0.674324808202852, 0.27700052140327935, 0.7840924964974598, -1.7201801906381413, 0.15729196573750814, 1.3446941526853258, 1.33987261032195], [0.921471972548516, 0.32684128418082165, 0.8449979506699342, -1.7953262947007296, 0.058273213289472214, 1.1588969686379995, 1.479847856701928], [0.8663093059563629, 0.34846495822213897, 0.8372328117763541, -1.9386676026716452, -0.10226087891602531, 1.515002510864885, 1.408929872263334], [0.8111466393642098, 0.37008863226345634, 0.8294676728827739, -2.0820089106425606, -0.26279497112152284, 1.8711080530917708, 1.3380118878247402], [0.7559839727720568, 0.3917123063047737, 0.8217025339891937, -2.2253502186134764, -0.42332906332702036, 2.2272135953186565, 1.2670939033861461], [0.7008213061799037, 0.41333598034609104, 0.8139373950956136, -2.3686915265843917, -0.5838631555325179, 2.583319137545542, 1.1961759189475523]]",958.8870782852173,7.32262110710144,117.81282997131348
7,rrtstar,PathLength,5.409689221406975,5.409689221406975,46.92736840248108,"[[0.6291796587663371, -0.019316974226201426, 0.034181329349959697, -1.9436012222141201, 0.43125168091770977, 1.938873926282423, -1.4136313279050623], [0.4715759344617081, -0.08909524423034762, 0.17399882855867277, -1.9684909310582899, 0.41139181490710724, 2.028864130053494, -1.3204493745445882], [0.31397221015707916, -0.1588735142344938, 0.3138163277673858, -1.9933806399024598, 0.3915319488965047, 2.1188543338245656, -1.2272674211841141], [0.15636848585245028, -0.22865178423863997, 0.45363382697609883, -2.0182703487466296, 0.3716720828859022, 2.208844537595637, -1.13408546782364], [-0.0012352384521787663, -0.2984300542427862, 0.5934513261848119, -2.0431600575907995, 0.3518122168752996, 2.2988347413667083, -1.040903514463166], [-0.15883896275680764, -0.36820832424693234, 0.7332688253935249, -2.068049766434969, 0.3319523508646971, 2.3888249451377797, -0.9477215611026919], [-0.3164426870614365, -0.4379865942510785, 0.8730863246022379, -2.092939475279139, 0.3120924848540946, 2.4788151489088506, -0.8545396077422178], [-0.4740464113660655, -0.5077648642552246, 1.012903823810951, -2.117829184123309, 0.29223261884349205, 2.568805352679922, -0.7613576543817437], [-0.6316501356706946, -0.5775431342593709, 1.1527213230196642, -2.142718892967479, 0.27237275283288953, 2.6587955564509933, -0.6681757010212696], [-0.7892538599753235, -0.647321404263517, 1.2925388222283771, -2.1676086018116485, 0.252512886822287, 2.7487857602220647, -0.5749937476607955], [-0.9468575842799524, -0.7170996742676632, 1.4323563214370902, -2.1924983106558185, 0.23265302081168449, 2.838775963993136, -0.4818117943003214], [-0.757753739740462, -0.587359753746915, 1.3613804794910187, -2.2127199780612745, 0.13894158894872033, 2.809457224598705, -0.28922941098372706], [-0.5686498952009716, -0.4576198332261667, 1.2904046375449474, -2.23294164546673, 0.0452301570857562, 2.7801384852042745, -0.09664702766713273], [-0.3795460506614813, -0.3278799127054184, 1.2194287955988758, -2.253163312872186, -0.04848127477720793, 2.7508197458098436, 0.09593535564946165], [-0.19044220612199092, -0.19813999218467016, 1.1484529536528043, -2.2733849802776422, -0.14219270664017208, 2.721501006415413, 0.2885177389660559], [-0.001338361582500558, -0.06840007166392192, 1.0774771117067328, -2.293606647683098, -0.23590413850313624, 2.692182267020982, 0.4811001222826502], [0.1877654829569898, 0.06133984885682642, 1.0065012697606615, -2.313828315088554, -0.32961557036610034, 2.662863527626551, 0.6736825055992447], [0.37686932749648017, 0.19107976937757465, 0.9355254278145899, -2.3340499824940095, -0.4233270022290645, 2.6335447882321206, 0.866264888915839], [0.5659731720359705, 0.3208196898983229, 0.8645495858685185, -2.3542716498994656, -0.5170384340920287, 2.6042260488376896, 1.0588472722324331], [0.7008213061799037, 0.41333598034609104, 0.8139373950956136, -2.3686915265843917, -0.5838631555325179, 2.583319137545542, 1.1961759189475523]]",1010.1920390129089,7.732479095458984,121.8466124534607
8,rrtstar,PathLength,,,,,1233.1890122890472,8.269063234329224,141.51049256324768
9,rrtstar,PathLength,7.369432505925751,7.369432505925751,108.00224089622498,"[[0.6291796587663371, -0.019316974226201426, 0.034181329349959697, -1.9436012222141201, 0.43125168091770977, 1.938873926282423, -1.4136313279050623], [0.7698784010994891, -0.18361262580197868, 0.12843724999446915, -1.7865762932723543, 0.23454505121730232, 1.8450479779820308, -1.318691349664093], [0.9105771434326411, -0.3479082773777559, 0.2226931706389786, -1.6295513643305886, 0.03783842151689487, 1.7512220296816385, -1.2237513714231238], [1.0512758857657931, -0.5122039289535332, 0.3169490912834881, -1.4725264353888226, -0.1588682081835126, 1.6573960813812465, -1.1288113931821544], [1.1919746280989452, -0.6764995805293104, 0.4112050119279975, -1.3155015064470568, -0.35557483788392, 1.5635701330808542, -1.0338714149411852], [1.3326733704320972, -0.8407952321050877, 0.505460932572507, -1.158476577505291, -0.5522814675843275, 1.469744184780462, -0.9389314367002158], [1.4733721127652493, -1.005090883680865, 0.5997168532170164, -1.001451648563525, -0.7489880972847349, 1.3759182364800697, -0.8439914584592466], [1.6140708550984013, -1.1693865352566422, 0.6939727738615259, -0.8444267196217592, -0.9456947269851423, 1.2820922881796775, -0.7490514802182773], [1.600491764784369, -0.8887332060952902, 0.758231721615727, -0.8969240645239618, -1.0661060212931306, 1.412172398875329, -0.6091049587515945], [1.5869126744703366, -0.6080798769339382, 0.8224906693699281, -0.9494214094261643, -1.1865173156011186, 1.5422525095709805, -0.4691584372849118], [1.5733335841563043, -0.3274265477725862, 0.8867496171241293, -1.0019187543283667, -1.3069286099091069, 1.6723326202666318, -0.32921191581822906], [1.5597544938422718, -0.04677321861123418, 0.9510085648783304, -1.0544160992305693, -1.4273399042170951, 1.8024127309622835, -0.18926539435154632], [1.5461754035282396, 0.23388011055011804, 1.0152675126325315, -1.106913444132772, -1.5477511985250834, 1.9324928416579348, -0.049318872884863474], [1.532596313214207, 0.5145334397114698, 1.0795264603867327, -1.1594107890349745, -1.6681624928330714, 2.0625729523535865, 0.09062764858181915], [1.5190172229001748, 0.795186768872822, 1.1437854081409338, -1.2119081339371771, -1.7885737871410596, 2.192653063049238, 0.230574170048502], [1.3553780395561206, 0.7188166111674759, 1.0778158055318698, -1.44326481246662, -1.5476316608193512, 2.2707862779484986, 0.4236945198283121], [1.1917388562120663, 0.6424464534621296, 1.0118462029228057, -1.674621490996063, -1.3066895344976428, 2.3489194928477595, 0.6168148696081222], [1.028099672868012, 0.5660762957567834, 0.9458766003137417, -1.9059781695255058, -1.0657474081759344, 2.4270527077470203, 0.8099352193879321], [0.8644604895239578, 0.4897061380514372, 0.8799069977046776, -2.137334848054949, -0.8248052818542261, 2.505185922646281, 1.0030555691677423], [0.7008213061799037, 0.41333598034609104, 0.8139373950956136, -2.3686915265843917, -0.5838631555325179, 2.583319137545542, 1.1961759189475523]]",1345.6625599861145,8.684500932693481,145.64859175682068
0,rrtstar,PathLength,5.110649451266236,5.110649451266236,14.427582502365112,"[[0.6291796587663371, -0.019316974226201426, 0.034181329349959697, -1.9436012222141201, 0.43125168091770977, 1.938873926282423, -1.4136313279050623], [0.6205890703254924, 0.007939503028287595, 0.053963353078373105, -1.8409963757292904, 0.45588295683020985, 1.8584248216330526, -1.1940013114761503], [0.6119984818846476, 0.035195980282776616, 0.07374537680678651, -1.7383915292444607, 0.48051423274271, 1.7779757169836818, -0.9743712950472385], [0.6034078934438029, 0.06245245753726563, 0.09352740053519991, -1.635786682759631, 0.5051455086552101, 1.6975266123343111, -0.7547412786183267], [0.594817305002958, 0.08970893479175465, 0.11330942426361333, -1.5331818362748013, 0.5297767845677102, 1.6170775076849406, -0.5351112621894147], [0.5862267165621133, 0.11696541204624367, 0.1330914479920267, -1.4305769897899716, 0.5544080604802103, 1.5366284030355701, -0.31548124576050296], [0.5776361281212686, 0.14422188930073268, 0.15287347172044013, -1.327972143305142, 0.5790393363927104, 1.4561792983861994, -0.09585122933159118], [0.5690455396804238, 0.1714783665552217, 0.1726554954488535, -1.2253672968203122, 0.6036706123052106, 1.3757301937368287, 0.1237787870973206], [0.5604549512395791, 0.19873484380971074, 0.19243751917726698, -1.1227624503354825, 0.6283018882177107, 1.2952810890874582, 0.3434088035262328], [0.5518643627987343, 0.22599132106419975, 0.21221954290568035, -1.0201576038506528, 0.6529331641302107, 1.2148319844380877, 0.5630388199551446], [0.5432737743578896, 0.25324779831868877, 0.23200156663409377, -0.9175527573658231, 0.6775644400427109, 1.134382879788717, 0.7826688363840564], [0.5607790556714467, 0.27103537409951123, 0.2966611031298182, -1.0787903983901086, 0.53740581831213, 1.295375797317253, 0.8286140677800004], [0.5782843369850038, 0.2888229498803337, 0.3613206396255426, -1.2400280394143939, 0.39724719658154894, 1.4563687148457891, 0.8745592991759443], [0.5957896182985609, 0.3066105256611562, 0.42598017612126704, -1.4012656804386792, 0.257088574850968, 1.6173616323743252, 0.9205045305718883], [0.613294899612118, 0.32439810144197867, 0.49063971261699146, -1.5625033214629647, 0.11692995312038701, 1.7783545499028612, 0.9664497619678323], [0.6308001809256752, 0.34218567722280113, 0.5552992491127159, -1.7237409624872502, -0.023228668610194014, 1.9393474674313977, 1.0123949933637764], [0.6483054622392324, 0.3599732530036236, 0.6199587856084403, -1.8849786035115355, -0.16338729034077493, 2.1003403849599334, 1.0583402247597202], [0.6658107435527895, 0.37776082878444606, 0.6846183221041647, -2.046216244535821, -0.30354591207135595, 2.26133330248847, 1.1042854561556643], [0.6833160248663466, 0.3955484045652685, 0.7492778585998892, -2.2074538855601062, -0.44370453380193686, 2.4223262200170055, 1.1502306875516082], [0.7008213061799037, 0.41333598034609104, 0.8139373950956136, -2.3686915265843917, -0.5838631555325179, 2.583319137545542, 1.1961759189475523]]",1364.6192872524261,9.074697732925415,149.8310935497284
